time,open,high,low,close
2003-02-24,0.7865,0.7865,0.7865,0.7865
2003-03-28,0.7865,0.7901,0.77888,0.79009
2003-03-31,0.79009,0.79009,0.76909,0.77179
2003-04-01,0.77179,0.78427,0.77179,0.78209
2003-04-02,0.78209,0.78226,0.77083,0.77458
2003-04-03,0.77458,0.77458,0.76397,0.766
2003-04-04,0.766,0.77591,0.766,0.77143
2003-04-07,0.77143,0.78723,0.77143,0.78016
2003-04-08,0.78016,0.78016,0.76809,0.7727
2003-04-09,0.7727,0.7727,0.76223,0.76793
2003-04-10,0.76793,0.76922,0.75896,0.7621
2003-04-11,0.7621,0.7755,0.7617,0.7728
2003-04-14,0.7728,0.7728,0.76297,0.76864
2003-04-15,0.76864,0.78305,0.76864,0.77768
2003-04-16,0.77768,0.78511,0.77457,0.77717
2003-04-17,0.77717,0.77984,0.76732,0.7793
2003-04-21,0.7793,0.7793,0.76271,0.7662
2003-04-22,0.7662,0.7662,0.75276,0.75678
2003-04-23,0.75678,0.76051,0.74862,0.75839
2003-04-24,0.75839,0.75839,0.71995,0.72905
2003-04-25,0.72905,0.731,0.72339,0.72845
2003-04-28,0.72845,0.73626,0.72714,0.72865
2003-04-29,0.72865,0.7402,0.72865,0.73817
2003-04-30,0.73817,0.74113,0.73505,0.7401
2003-05-01,0.7401,0.74709,0.73494,0.73898
2003-05-02,0.73898,0.73898,0.72574,0.72724
2003-05-05,0.72724,0.72897,0.72342,0.72644
2003-05-06,0.72644,0.73343,0.72644,0.73241
2003-05-07,0.73241,0.74546,0.73241,0.74343
2003-05-08,0.74343,0.75244,0.74343,0.74889
2003-05-09,0.74889,0.75133,0.74426,0.74677
2003-05-12,0.74677,0.76112,0.74193,0.76011
2003-05-13,0.76011,0.77314,0.76011,0.77213
2003-05-14,0.77213,0.77405,0.76547,0.7695
2003-05-15,0.7695,0.77596,0.76889,0.7699
2003-05-16,0.7699,0.77334,0.76676,0.76929
2003-05-19,0.76929,0.77202,0.76746,0.77149
2003-05-20,0.77149,0.77189,0.76282,0.77088
2003-05-21,0.77088,0.7814,0.77088,0.77835
2003-05-22,0.77835,0.78634,0.77269,0.77521
2003-05-23,0.77521,0.77563,0.77109,0.7741
2003-05-27,0.7741,0.78881,0.7741,0.78477
2003-05-28,0.78477,0.7867,0.77155,0.77609
2003-05-29,0.77609,0.78457,0.77246,0.7785
2003-05-30,0.7785,0.7905,0.77842,0.78949
2003-06-02,0.78949,0.79925,0.78949,0.79572
2003-06-03,0.79572,0.79814,0.78906,0.79006
2003-06-04,0.79006,0.79551,0.78391,0.78643
2003-06-05,0.78643,0.79389,0.78532,0.78834
2003-06-06,0.78834,0.79278,0.78471,0.78873
2003-06-09,0.78873,0.78873,0.77381,0.77632
2003-06-10,0.77632,0.77876,0.76968,0.77219
2003-06-11,0.77219,0.77513,0.76756,0.77309
2003-06-12,0.77309,0.78104,0.76796,0.77902
2003-06-13,0.77902,0.77902,0.76232,0.76483
2003-06-16,0.76483,0.76855,0.76101,0.76552
2003-06-17,0.76552,0.78855,0.76552,0.78603
2003-06-18,0.78603,0.79147,0.7819,0.78241
2003-06-19,0.78241,0.78886,0.7813,0.78582
2003-06-20,0.78582,0.78622,0.77314,0.77817
2003-06-23,0.77817,0.77817,0.76881,0.77031
2003-06-24,0.77031,0.77374,0.76671,0.77121
2003-06-25,0.77121,0.77121,0.75801,0.76301
2003-06-26,0.76301,0.76301,0.75603,0.75653
2003-06-27,0.75653,0.76403,0.75653,0.76203
2003-06-30,0.76203,0.76203,0.74708,0.75207
2003-07-01,0.75207,0.75208,0.74559,0.74859
2003-07-02,0.74859,0.76158,0.74859,0.76009
2003-07-03,0.76009,0.76109,0.74961,0.75011
2003-07-07,0.75011,0.77113,0.75011,0.77013
2003-07-08,0.77013,0.77313,0.76464,0.76864
2003-07-09,0.76864,0.78114,0.76715,0.77564
2003-07-10,0.77564,0.78714,0.77564,0.78015
2003-07-11,0.78015,0.78366,0.77616,0.77916
2003-07-14,0.77916,0.79867,0.77719,0.79718
2003-07-15,0.79718,0.79868,0.79019,0.79219
2003-07-16,0.79219,0.7972,0.78871,0.7922
2003-07-17,0.7922,0.79821,0.78023,0.78173
2003-07-18,0.78173,0.78873,0.78123,0.78623
