time,open,high,low,close
1896-05-26,40.94,40.94,40.94,40.94
1896-05-27,40.58,40.58,40.58,40.58
1896-05-28,40.2,40.2,40.2,40.2
1896-05-29,40.63,40.63,40.63,40.63
1896-06-01,40.6,40.6,40.6,40.6
1896-06-02,40.04,40.04,40.04,40.04
1896-06-03,39.77,39.77,39.77,39.77
1896-06-04,39.94,39.94,39.94,39.94
1896-06-05,40.32,40.32,40.32,40.32
1896-06-08,39.81,39.81,39.81,39.81
1896-06-09,39.34,39.34,39.34,39.34
1896-06-10,38.41,38.41,38.41,38.41
1896-06-11,39.4,39.4,39.4,39.4
1896-06-12,39.31,39.31,39.31,39.31
1896-06-15,39.93,39.93,39.93,39.93
1896-06-16,40.45,40.45,40.45,40.45
1896-06-17,40.54,40.54,40.54,40.54
1896-06-18,39.76,39.76,39.76,39.76
1896-06-19,40.03,40.03,40.03,40.03
1896-06-22,38.73,38.73,38.73,38.73
1896-06-23,38.14,38.14,38.14,38.14
1896-06-24,38.27,38.27,38.27,38.27
1896-06-25,37.97,37.97,37.97,37.97
1896-06-26,37.89,37.89,37.89,37.89
1896-06-29,35.53,35.53,35.53,35.53
1896-06-30,36.15,36.15,36.15,36.15
1896-07-01,34.59,34.59,34.59,34.59
1896-07-02,34.91,34.91,34.91,34.91
1896-07-03,34.74,34.74,34.74,34.74
1896-07-06,34.87,34.87,34.87,34.87
1896-07-07,35.15,35.15,35.15,35.15
1896-07-08,35.19,35.19,35.19,35.19
1896-07-09,34.68,34.68,34.68,34.68
1896-07-10,34.84,34.84,34.84,34.84
1896-07-13,34.69,34.69,34.69,34.69
1896-07-14,33.43,33.43,33.43,33.43
1896-07-15,32.28,32.28,32.28,32.28
1896-07-16,31.95,31.95,31.95,31.95
1896-07-17,31.94,31.94,31.94,31.94
1896-07-20,30.5,30.5,30.5,30.5
1896-07-21,30.68,30.68,30.68,30.68
1896-07-22,31.99,31.99,31.99,31.99
1896-07-23,32.29,32.29,32.29,32.29
1896-07-24,31.54,31.54,31.54,31.54
1896-07-27,31.46,31.46,31.46,31.46
1896-07-28,30.82,30.82,30.82,30.82
1896-07-29,30.97,30.97,30.97,30.97
1896-07-30,31.48,31.48,31.48,31.48
1896-07-31,32.02,32.02,32.02,32.02
1896-08-03,31.49,31.49,31.49,31.49
1896-08-04,30.99,30.99,30.99,30.99
1896-08-05,30.93,30.93,30.93,30.93
1896-08-06,29.99,29.99,29.99,29.99
1896-08-07,28.66,28.66,28.66,28.66
1896-08-10,28.96,28.96,28.96,28.96
1896-08-11,30.3,30.3,30.3,30.3
1896-08-12,29.37,29.37,29.37,29.37
1896-08-13,30.37,30.37,30.37,30.37
1896-08-14,30.73,30.73,30.73,30.73
1896-08-17,31.06,31.06,31.06,31.06
1896-08-18,30.99,30.99,30.99,30.99
1896-08-19,31.31,31.31,31.31,31.31
1896-08-20,30.72,30.72,30.72,30.72
1896-08-21,30.55,30.55,30.55,30.55
1896-08-24,30.67,30.67,30.67,30.67
1896-08-25,30.61,30.61,30.61,30.61
1896-08-26,30.29,30.29,30.29,30.29
1896-08-27,30.31,30.31,30.31,30.31
1896-08-28,30.88,30.88,30.88,30.88
1896-08-31,31.97,31.97,31.97,31.97
1896-09-01,32.02,32.02,32.02,32.02
1896-09-02,33.49,33.49,33.49,33.49
1896-09-03,33.8,33.8,33.8,33.8
1896-09-04,34.7,34.7,34.7,34.7
1896-09-08,35.5,35.5,35.5,35.5
1896-09-09,35.39,35.39,35.39,35.39
1896-09-10,34.58,34.58,34.58,34.58
1896-09-11,35.3,35.3,35.3,35.3
1896-09-14,34.86,34.86,34.86,34.86
1896-09-15,34.13,34.13,34.13,34.13
1896-09-16,33.32,33.32,33.32,33.32
1896-09-17,34.33,34.33,34.33,34.33
1896-09-18,34.81,34.81,34.81,34.81
1896-09-21,35.53,35.53,35.53,35.53
1896-09-22,35.59,35.59,35.59,35.59
1896-09-23,35.78,35.78,35.78,35.78
1896-09-24,36.23,36.23,36.23,36.23
1896-09-25,36.61,36.61,36.61,36.61
1896-09-28,36.35,36.35,36.35,36.35
1896-09-29,36.33,36.33,36.33,36.33
1896-09-30,36.05,36.05,36.05,36.05
1896-10-01,36.01,36.01,36.01,36.01
1896-10-02,35.88,35.88,35.88,35.88
1896-10-05,35.92,35.92,35.92,35.92
1896-10-06,35.91,35.91,35.91,35.91
1896-10-07,35.3,35.3,35.3,35.3
1896-10-08,35.42,35.42,35.42,35.42
1896-10-09,34.96,34.96,34.96,34.96
1896-10-12,34.74,34.74,34.74,34.74
1896-10-13,36.18,36.18,36.18,36.18
1896-10-14,36.15,36.15,36.15,36.15
1896-10-15,36.2,36.2,36.2,36.2
1896-10-16,36.26,36.26,36.26,36.26
1896-10-19,36.5,36.5,36.5,36.5
1896-10-20,37.42,37.42,37.42,37.42
1896-10-21,37.32,37.32,37.32,37.32
1896-10-22,37.86,37.86,37.86,37.86
1896-10-23,38.49,38.49,38.49,38.49
1896-10-26,38.71,38.71,38.71,38.71
1896-10-27,38.88,38.88,38.88,38.88
1896-10-28,38.39,38.39,38.39,38.39
1896-10-29,37.75,37.75,37.75,37.75
1896-10-30,39.4,39.4,39.4,39.4
1896-11-02,40.93,40.93,40.93,40.93
1896-11-04,42.79,42.79,42.79,42.79
1896-11-05,41.86,41.86,41.86,41.86
1896-11-06,43.33,43.33,43.33,43.33
1896-11-09,44.44,44.44,44.44,44.44
1896-11-10,44.56,44.56,44.56,44.56
1896-11-11,44.33,44.33,44.33,44.33
1896-11-12,44.9,44.9,44.9,44.9
1896-11-13,44.5,44.5,44.5,44.5
1896-11-16,43.59,43.59,43.59,43.59
1896-11-17,43.59,43.59,43.59,43.59
1896-11-18,43.63,43.63,43.63,43.63
1896-11-19,43.44,43.44,43.44,43.44
1896-11-20,43.24,43.24,43.24,43.24
1896-11-23,42.95,42.95,42.95,42.95
1896-11-24,42.71,42.71,42.71,42.71
1896-11-25,42.47,42.47,42.47,42.47
1896-11-27,41.9,41.9,41.9,41.9
1896-11-30,41,41,41,41
1896-12-01,41.98,41.98,41.98,41.98
1896-12-02,41.95,41.95,41.95,41.95
1896-12-03,42.22,42.22,42.22,42.22
1896-12-04,42.07,42.07,42.07,42.07
1896-12-07,41.58,41.58,41.58,41.58
1896-12-08,41.6,41.6,41.6,41.6
1896-12-09,41.78,41.78,41.78,41.78
1896-12-10,41.48,41.48,41.48,41.48
1896-12-11,41.42,41.42,41.42,41.42
1896-12-14,40.42,40.42,40.42,40.42
1896-12-15,39.5,39.5,39.5,39.5
1896-12-16,39.96,39.96,39.96,39.96
1896-12-17,40.8,40.8,40.8,40.8
1896-12-18,38.59,38.59,38.59,38.59
1896-12-21,39.8,39.8,39.8,39.8
1896-12-22,39.53,39.53,39.53,39.53
1896-12-23,39.76,39.76,39.76,39.76
1896-12-24,40.02,40.02,40.02,40.02
1896-12-28,40.14,40.14,40.14,40.14
1896-12-29,40.52,40.52,40.52,40.52
1896-12-30,40.62,40.62,40.62,40.62
1896-12-31,40.45,40.45,40.45,40.45
1897-01-04,40.37,40.37,40.37,40.37
1897-01-05,40.87,40.87,40.87,40.87
1897-01-06,40.95,40.95,40.95,40.95
1897-01-07,40.87,40.87,40.87,40.87
1897-01-08,40.97,40.97,40.97,40.97
1897-01-11,40.75,40.75,40.75,40.75
1897-01-12,41.4,41.4,41.4,41.4
1897-01-13,41.45,41.45,41.45,41.45
1897-01-14,41.79,41.79,41.79,41.79
1897-01-15,42.27,42.27,42.27,42.27
1897-01-18,42.76,42.76,42.76,42.76
1897-01-19,43.25,43.25,43.25,43.25
1897-01-20,42.78,42.78,42.78,42.78
1897-01-21,42.52,42.52,42.52,42.52
1897-01-22,42.42,42.42,42.42,42.42
1897-01-25,41.91,41.91,41.91,41.91
1897-01-26,42.22,42.22,42.22,42.22
1897-01-27,42.21,42.21,42.21,42.21
1897-01-28,41.88,41.88,41.88,41.88
1897-01-29,42.06,42.06,42.06,42.06
1897-02-01,42.38,42.38,42.38,42.38
1897-02-02,42.02,42.02,42.02,42.02
1897-02-03,41.93,41.93,41.93,41.93
1897-02-04,41.3,41.3,41.3,41.3
1897-02-05,41.23,41.23,41.23,41.23
1897-02-08,41.11,41.11,41.11,41.11
1897-02-09,40.57,40.57,40.57,40.57
1897-02-10,40.57,40.57,40.57,40.57
1897-02-11,40.27,40.27,40.27,40.27
1897-02-15,39.74,39.74,39.74,39.74
1897-02-16,40.3,40.3,40.3,40.3
1897-02-17,40.3,40.3,40.3,40.3
1897-02-18,40.32,40.32,40.32,40.32
1897-02-19,40.28,40.28,40.28,40.28
1897-02-23,40.69,40.69,40.69,40.69
1897-02-24,40.76,40.76,40.76,40.76
1897-02-25,40.21,40.21,40.21,40.21
1897-02-26,41.29,41.29,41.29,41.29
1897-03-01,41.69,41.69,41.69,41.69
1897-03-02,41.88,41.88,41.88,41.88
1897-03-03,42.13,42.13,42.13,42.13
1897-03-04,41.34,41.34,41.34,41.34
1897-03-05,41.45,41.45,41.45,41.45
1897-03-08,41.9,41.9,41.9,41.9
1897-03-09,41.62,41.62,41.62,41.62
1897-03-10,41.79,41.79,41.79,41.79
1897-03-11,41.94,41.94,41.94,41.94
1897-03-12,42.05,42.05,42.05,42.05
1897-03-15,42.08,42.08,42.08,42.08
1897-03-16,41.93,41.93,41.93,41.93
1897-03-17,41.5,41.5,41.5,41.5
1897-03-18,41.6,41.6,41.6,41.6
1897-03-19,41.12,41.12,41.12,41.12
1897-03-22,41.39,41.39,41.39,41.39
1897-03-23,40.86,40.86,40.86,40.86
1897-03-24,40.6,40.6,40.6,40.6
1897-03-25,40.58,40.58,40.58,40.58
1897-03-26,40.07,40.07,40.07,40.07
1897-03-29,39.13,39.13,39.13,39.13
1897-03-30,39.86,39.86,39.86,39.86
1897-03-31,39.47,39.47,39.47,39.47
1897-04-01,39.77,39.77,39.77,39.77
1897-04-02,39.81,39.81,39.81,39.81
1897-04-05,39.74,39.74,39.74,39.74
1897-04-06,39.57,39.57,39.57,39.57
1897-04-07,39.73,39.73,39.73,39.73
1897-04-08,40.37,40.37,40.37,40.37
1897-04-09,40.21,40.21,40.21,40.21
1897-04-12,39.95,39.95,39.95,39.95
1897-04-13,40.43,40.43,40.43,40.43
1897-04-14,39.76,39.76,39.76,39.76
1897-04-15,39.41,39.41,39.41,39.41
1897-04-19,38.49,38.49,38.49,38.49
1897-04-20,38.69,38.69,38.69,38.69
1897-04-21,38.91,38.91,38.91,38.91
1897-04-22,38.57,38.57,38.57,38.57
1897-04-23,38.49,38.49,38.49,38.49
1897-04-26,39.22,39.22,39.22,39.22
1897-04-28,39.02,39.02,39.02,39.02
1897-04-29,39.01,39.01,39.01,39.01
1897-04-30,38.96,38.96,38.96,38.96
1897-05-03,38.78,38.78,38.78,38.78
1897-05-04,39.48,39.48,39.48,39.48
1897-05-05,39.18,39.18,39.18,39.18
1897-05-06,39.54,39.54,39.54,39.54
1897-05-07,39.59,39.59,39.59,39.59
1897-05-10,39.95,39.95,39.95,39.95
1897-05-11,39.9,39.9,39.9,39.9
1897-05-12,39.69,39.69,39.69,39.69
1897-05-13,39.27,39.27,39.27,39.27
1897-05-14,38.94,38.94,38.94,38.94
1897-05-17,38.67,38.67,38.67,38.67
1897-05-18,39.2,39.2,39.2,39.2
1897-05-19,38.8,38.8,38.8,38.8
1897-05-20,38.67,38.67,38.67,38.67
1897-05-21,38.83,38.83,38.83,38.83
1897-05-24,39.33,39.33,39.33,39.33
1897-05-25,39.2,39.2,39.2,39.2
1897-05-26,39.55,39.55,39.55,39.55
1897-05-27,39.21,39.21,39.21,39.21
1897-05-28,39.64,39.64,39.64,39.64
1897-06-01,40.01,40.01,40.01,40.01
1897-06-02,40.22,40.22,40.22,40.22
1897-06-03,40.28,40.28,40.28,40.28
1897-06-04,40.52,40.52,40.52,40.52
1897-06-07,41.32,41.32,41.32,41.32
1897-06-08,41.74,41.74,41.74,41.74
1897-06-09,42.21,42.21,42.21,42.21
1897-06-10,42.38,42.38,42.38,42.38
1897-06-11,42.54,42.54,42.54,42.54
1897-06-14,42.96,42.96,42.96,42.96
1897-06-15,42.8,42.8,42.8,42.8
1897-06-16,42.39,42.39,42.39,42.39
1897-06-17,42.69,42.69,42.69,42.69
1897-06-18,43.07,43.07,43.07,43.07
1897-06-21,42.62,42.62,42.62,42.62
1897-06-22,42.8,42.8,42.8,42.8
1897-06-23,43.18,43.18,43.18,43.18
1897-06-24,43.39,43.39,43.39,43.39
1897-06-25,43.28,43.28,43.28,43.28
1897-06-28,44.61,44.61,44.61,44.61
1897-06-29,44.27,44.27,44.27,44.27
1897-06-30,44.1,44.1,44.1,44.1
1897-07-01,44.21,44.21,44.21,44.21
1897-07-02,44.18,44.18,44.18,44.18
1897-07-06,43.6,43.6,43.6,43.6
1897-07-07,44.07,44.07,44.07,44.07
1897-07-08,43.92,43.92,43.92,43.92
1897-07-09,44.16,44.16,44.16,44.16
1897-07-12,45.05,45.05,45.05,45.05
1897-07-13,45.61,45.61,45.61,45.61
1897-07-14,45.71,45.71,45.71,45.71
1897-07-15,45.27,45.27,45.27,45.27
1897-07-16,45.48,45.48,45.48,45.48
1897-07-19,46.45,46.45,46.45,46.45
1897-07-20,46.76,46.76,46.76,46.76
1897-07-21,46.95,46.95,46.95,46.95
1897-07-22,47.73,47.73,47.73,47.73
1897-07-23,47.88,47.88,47.88,47.88
1897-07-26,47.71,47.71,47.71,47.71
1897-07-27,47.11,47.11,47.11,47.11
1897-07-28,47.86,47.86,47.86,47.86
1897-07-29,47.7,47.7,47.7,47.7
1897-07-30,47.95,47.95,47.95,47.95
1897-08-02,48.84,48.84,48.84,48.84
1897-08-03,50.1,50.1,50.1,50.1
1897-08-04,50.74,50.74,50.74,50.74
1897-08-05,51.25,51.25,51.25,51.25
1897-08-06,51.72,51.72,51.72,51.72
1897-08-09,51.32,51.32,51.32,51.32
1897-08-10,51.73,51.73,51.73,51.73
1897-08-11,51.8,51.8,51.8,51.8
1897-08-12,51.97,51.97,51.97,51.97
1897-08-13,51.5,51.5,51.5,51.5
1897-08-16,52.19,52.19,52.19,52.19
1897-08-17,51.55,51.55,51.55,51.55
1897-08-18,51.79,51.79,51.79,51.79
1897-08-19,51.8,51.8,51.8,51.8
1897-08-20,51.65,51.65,51.65,51.65
1897-08-23,52.39,52.39,52.39,52.39
