time,open,high,low,close
2002-09-23,0.4688,0.4688,0.4688,0.4688
2002-09-24,0.4688,0.4701,0.4688,0.4701
2002-09-25,0.4701,0.472,0.4701,0.472
2002-09-26,0.472,0.472,0.4703,0.4703
2002-09-27,0.4703,0.4712,0.4703,0.4712
2002-09-30,0.4703,0.4703,0.4693,0.4693
2002-10-01,0.4693,0.4741,0.4693,0.4741
2002-10-02,0.4741,0.4741,0.4731,0.4731
2002-10-03,0.4731,0.47735,0.4731,0.47735
2002-10-04,0.47735,0.4791,0.47735,0.4791
2002-10-07,0.4788,0.48355,0.4788,0.48355
2002-10-08,0.48355,0.48355,0.48095,0.48095
2002-10-09,0.48095,0.48095,0.48065,0.48065
2002-10-10,0.48065,0.48065,0.47955,0.47955
2002-10-14,0.4804,0.4804,0.47845,0.47845
2002-10-15,0.47845,0.47945,0.47845,0.47945
2002-10-16,0.47945,0.4802,0.47945,0.4802
2002-10-17,0.4802,0.48175,0.4802,0.48175
2002-10-18,0.48175,0.48175,0.4814,0.4814
2002-10-21,0.4815,0.48405,0.4815,0.48405
2002-10-22,0.48405,0.48405,0.48345,0.48345
2002-10-23,0.48345,0.48405,0.48345,0.48405
2002-10-24,0.48405,0.48585,0.48405,0.48585
2002-10-25,0.48585,0.4872,0.48585,0.4872
2002-10-28,0.4872,0.4891,0.4872,0.4891
2002-10-29,0.4891,0.4891,0.48625,0.48625
2002-10-30,0.48625,0.48625,0.48305,0.48305
2002-10-31,0.48305,0.48625,0.48305,0.48625
2002-11-01,0.48625,0.492,0.48625,0.492
2002-11-04,0.4917,0.4962,0.4917,0.4962
2002-11-05,0.4962,0.4962,0.4958,0.4958
2002-11-06,0.4958,0.4979,0.4958,0.4979
2002-11-07,0.4979,0.4997,0.4979,0.4997
2002-11-08,0.4997,0.4997,0.4966,0.4966
2002-11-11,0.4954,0.4954,0.4947,0.4947
2002-11-12,0.4947,0.4947,0.4933,0.4933
2002-11-13,0.4933,0.4971,0.4933,0.4971
2002-11-14,0.4971,0.5001,0.4971,0.5001
2002-11-15,0.5001,0.5001,0.5,0.5
2002-11-18,0.5,0.5,0.4972,0.4972
2002-11-19,0.4972,0.49755,0.4972,0.49755
2002-11-20,0.49755,0.49845,0.49755,0.49845
2002-11-21,0.49845,0.50315,0.49845,0.50315
2002-11-22,0.50315,0.5032,0.50315,0.5032
2002-11-25,0.503,0.503,0.4997,0.4997
2002-11-26,0.4997,0.4997,0.4967,0.4967
2002-11-27,0.4967,0.4967,0.49425,0.49425
2002-11-28,0.49425,0.49465,0.49425,0.49465
2002-11-29,0.49465,0.4984,0.49465,0.4984
2002-12-02,0.4993,0.4993,0.4985,0.4985
2002-12-03,0.4985,0.4985,0.4984,0.4984
