time,open,high,low,close
2002-05-07,1.56675,1.56675,1.56675,1.56675
2002-05-08,1.56675,1.57005,1.56675,1.57005
2002-05-09,1.57005,1.57005,1.56525,1.56525
2002-05-10,1.56525,1.56525,1.5585,1.5585
2002-05-13,1.5585,1.5585,1.55395,1.55395
2002-05-14,1.55395,1.5582,1.55395,1.5582
2002-05-15,1.5582,1.5582,1.5573,1.5573
2002-05-16,1.5573,1.5573,1.5547,1.5547
2002-05-20,1.5465,1.5465,1.5427,1.5427
2002-05-21,1.5427,1.5427,1.53725,1.53725
2002-05-22,1.53725,1.53725,1.53185,1.53185
2002-05-23,1.53185,1.536,1.53185,1.536
2002-05-24,1.536,1.536,1.533,1.533
2002-05-27,1.5329,1.5334,1.5329,1.5334
2002-05-28,1.5334,1.5334,1.5307,1.5307
2002-05-29,1.5307,1.5349,1.5307,1.5349
2002-05-30,1.5349,1.5349,1.5347,1.5347
2002-05-31,1.5347,1.5347,1.5282,1.5282
2002-06-03,1.5368,1.5368,1.52715,1.52715
2002-06-04,1.52715,1.53165,1.52715,1.53165
2002-06-05,1.53165,1.53175,1.53165,1.53175
2002-06-06,1.53175,1.53325,1.53175,1.53325
2002-06-10,1.5329,1.53945,1.5329,1.53945
2002-06-11,1.53945,1.53945,1.53595,1.53595
2002-06-12,1.53595,1.53595,1.53535,1.53535
2002-06-13,1.53535,1.53985,1.53535,1.53985
2002-06-14,1.53985,1.5467,1.53985,1.5467
2002-06-17,1.5464,1.5464,1.54635,1.54635
2002-06-18,1.54635,1.54635,1.5456,1.5456
2002-06-19,1.5456,1.5456,1.5407,1.5407
2002-06-20,1.5407,1.5407,1.5279,1.5279
2002-06-21,1.5279,1.5279,1.5204,1.5204
2002-06-24,1.5209,1.5209,1.52065,1.52065
2002-06-25,1.52065,1.52065,1.51505,1.51505
2002-06-26,1.51505,1.51885,1.51505,1.51885
2002-06-27,1.51885,1.51885,1.51065,1.51065
2002-06-28,1.51065,1.5188,1.51065,1.5188
2002-07-01,1.5188,1.5188,1.51635,1.51635
2002-07-02,1.51635,1.52665,1.51635,1.52665
2002-07-03,1.52665,1.5314,1.52665,1.5314
2002-07-04,1.5314,1.5314,1.52785,1.52785
2002-07-05,1.52785,1.52785,1.5224,1.5224
2002-07-08,1.5225,1.52355,1.5225,1.52355
2002-07-09,1.52355,1.52355,1.51195,1.51195
2002-07-10,1.51195,1.52025,1.51195,1.52025
2002-07-11,1.52025,1.52545,1.52025,1.52545
2002-07-12,1.52545,1.5335,1.52545,1.5335
2002-07-15,1.5331,1.53875,1.5331,1.53875
2002-07-16,1.53875,1.53895,1.53875,1.53895
2002-07-17,1.53895,1.53975,1.53895,1.53975
2002-07-18,1.53975,1.5449,1.53975,1.5449
2002-07-19,1.5449,1.5449,1.543,1.543
2002-07-22,1.5431,1.56495,1.5431,1.56495
2002-07-23,1.56495,1.5837,1.56495,1.5837
2002-07-24,1.5837,1.5837,1.56305,1.56305
2002-07-25,1.56305,1.5684,1.56305,1.5684
2002-07-26,1.5684,1.5865,1.5684,1.5865
2002-07-29,1.5862,1.5862,1.5724,1.5724
2002-07-30,1.5724,1.5752,1.5724,1.5752
2002-07-31,1.5752,1.584,1.5752,1.584
2002-08-01,1.584,1.59055,1.584,1.59055
2002-08-02,1.59055,1.59055,1.5847,1.5847
2002-08-05,1.5838,1.59635,1.5838,1.59635
2002-08-06,1.59635,1.59635,1.58415,1.58415
2002-08-07,1.58415,1.58415,1.57635,1.57635
2002-08-08,1.57635,1.57965,1.57635,1.57965
2002-08-09,1.57965,1.57965,1.5732,1.5732
2002-08-12,1.5733,1.57395,1.5733,1.57395
2002-08-13,1.57395,1.57395,1.56395,1.56395
2002-08-14,1.56395,1.56395,1.56385,1.56385
2002-08-15,1.56385,1.56385,1.55885,1.55885
2002-08-16,1.55885,1.559,1.55885,1.559
2002-08-19,1.559,1.5747,1.559,1.5747
2002-08-20,1.5747,1.5747,1.5679,1.5679
2002-08-21,1.5679,1.5679,1.55655,1.55655
2002-08-22,1.55655,1.55985,1.55655,1.55985
2002-08-23,1.55985,1.55985,1.5567,1.5567
2002-08-26,1.5564,1.5564,1.55535,1.55535
2002-08-27,1.55535,1.55535,1.55425,1.55425
2002-08-28,1.55425,1.55915,1.55425,1.55915
2002-08-29,1.55915,1.55915,1.55895,1.55895
2002-08-30,1.55895,1.559,1.55895,1.559
2002-09-02,1.559,1.559,1.55685,1.55685
2002-09-03,1.55685,1.55685,1.55305,1.55305
2002-09-04,1.55305,1.56645,1.55305,1.56645
2002-09-05,1.56645,1.57235,1.56645,1.57235
2002-09-09,1.5591,1.56355,1.5591,1.56355
2002-09-10,1.56355,1.57275,1.56355,1.57275
2002-09-12,1.57275,1.58705,1.57275,1.58705
2002-09-13,1.58705,1.58705,1.58,1.58
2002-09-16,1.58,1.58115,1.58,1.58115
2002-09-17,1.58115,1.58115,1.58115,1.58115
2002-09-18,1.58115,1.58115,1.57885,1.57885
2002-09-19,1.57885,1.57885,1.57395,1.57395
2002-09-20,1.57395,1.57395,1.5735,1.5735
2002-09-23,1.5736,1.58205,1.5736,1.58205
2002-09-24,1.58205,1.58715,1.58205,1.58715
2002-09-25,1.58715,1.58715,1.57945,1.57945
2002-09-26,1.57945,1.57945,1.57485,1.57485
2002-09-27,1.57485,1.5789,1.57485,1.5789
2002-09-30,1.5785,1.58695,1.5785,1.58695
2002-10-01,1.58695,1.58695,1.58155,1.58155
2002-10-02,1.58155,1.58945,1.58155,1.58945
2002-10-03,1.58945,1.59165,1.58945,1.59165
